name,bus0,bus1,type,x,r,g,b,s_nom,s_nom_mod,s_nom_extendable,s_nom_min,s_nom_max,s_nom_set,s_max_pu,capital_cost,overnight_cost,discount_rate,fom_cost,active,build_year,lifetime,length,carrier,terrain_factor,num_parallel,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt
Purbasadipur_132kVtoThakurgaon_132kV_Line2,Purbasadipur_132kV,Thakurgaon_132kV,,8.355002,1.886598,0.0,0.0002862,283.731,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,45.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rangpur_132kVtoTeestaSolar_132kV_Line1,Rangpur_132kV,TeestaSolar_132kV,,7.613025,3.616124,0.0,0.000195636,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,35.7,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rangpur_132kVtoTeestaSolar_132kV_Line2,Rangpur_132kV,TeestaSolar_132kV,,7.613025,3.616124,0.0,0.000195636,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,35.7,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barishal_132kVtoBhandaria_132kV_Line1,Barishal_132kV,Bhandaria_132kV,,10.906582,6.608728,0.0,0.00025676,135.807,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,49.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhandaria_132kVtoBagerhat_132kV_Line1,Bhandaria_132kV,Bagerhat_132kV,,8.903332,5.39488,0.0,0.0002096,135.807,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,40.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bagerhat_132kVtoMongla_132kV_Line1,Bagerhat_132kV,Mongla_132kV,,6.232332,3.776416,0.0,0.00014672,135.807,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,28.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barishal_132kVtoBakerganj_132kV_Line1,Barishal_132kV,Bakerganj_132kV,,4.006499,2.427696,0.0,9.432e-05,135.807,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,18.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bakerganj_132kVtoPatuakhali_132kV_Line1,Bakerganj_132kV,Patuakhali_132kV,,4.451666,2.69744,0.0,0.0001048,135.807,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,20.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bheramara_132kVtoFaridpur_132kV_Line1,Bheramara_132kV,Faridpur_132kV,,23.371247,14.16156,0.0,0.0005502,135.807,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,105.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bheramara_132kVtoFaridpur_132kV_Line2,Bheramara_132kV,Faridpur_132kV,,23.371247,14.16156,0.0,0.0005502,135.807,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,105.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faridpur_132kVtoMadaripur_132kV_Line1,Faridpur_132kV,Madaripur_132kV,,14.579206,8.834116,0.0,0.00034322,135.807,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,65.5,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faridpur_132kVtoMadaripur_132kV_Line2,Faridpur_132kV,Madaripur_132kV,,14.579206,8.834116,0.0,0.00034322,135.807,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,65.5,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madaripur_132kVtoBarishalNorth_132kV_Line1,Madaripur_132kV,BarishalNorth_132kV,,10.79529,6.541292,0.0,0.00025414,135.807,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,48.5,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madaripur_132kVtoBarishalNorth_132kV_Line2,Madaripur_132kV,BarishalNorth_132kV,,10.79529,6.541292,0.0,0.00025414,135.807,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,48.5,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BarishalNorth_132kVtoBarishal_132kV_Line1,BarishalNorth_132kV,Barishal_132kV,,2.225833,1.34872,0.0,5.24e-05,135.807,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,10.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BarishalNorth_132kVtoBarishal_132kV_Line2,BarishalNorth_132kV,Barishal_132kV,,2.225833,1.34872,0.0,5.24e-05,135.807,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,10.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rajshahi_132kVtoNatore_132kV_Line1,Rajshahi_132kV,Natore_132kV,,8.235582,4.990264,0.0,0.00019388,135.807,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,37.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwardi_132kVtoBaghabari_132kV_Line1,Ishwardi_132kV,Baghabari_132kV,,14.022748,8.496936,0.0,0.00033012,135.807,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,63.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baghabari_132kVtoShahjadpur_132kV_Line1,Baghabari_132kV,Shahjadpur_132kV,,1.112917,0.67436,0.0,2.62e-05,135.807,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,5.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
