name,v_nom,type,x,y,carrier,unit,location,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,control,generator,sub_network
DhakaUniversity_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Dhamrai_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Dhanmondi_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Dohazari_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
DynamicSunSolarPP_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Energon_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
FaridpurPP_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Faridpur_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Faridpur_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Fatullah_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
FenchuganjPS_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Fenchuganj_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Fenchuganj_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
FeniNorth_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
FeniNorth_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Feni_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
GPH_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Gallamari_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Gazaria_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Ghatail_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
GhorashalSouthWest_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Ghorashal_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Ghorashal_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Goalpara_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
GopalganjNorth_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
GopalganjNorth_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
GopalganjNorth_400kV,400.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
GopalganjPP_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Gopalganj_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Gulshan_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Halishahar_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Haripur_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Haripur_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Hasnabad_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
