name,fuel,producer,unit_config,installed_mw,present_mw,actual_day_peak_mw,actual_evening_peak_mw,forecast_day_peak_mw,forecast_evening_peak_mw,remarks,p2_evening_peak_mw,p2_energy_kwh,p2_remarks
Ashuganj TSK 50 MW PP,Gas,APSCL,14*3.96,53.0,46.701,37.0,37.0,41.65,41.65,Gas shortage,37.0,922464.0,Machine Problem
Baghabari 100 MW GTPP,Gas,PDB,1*100,100.0,100.0,0.0,0.0,0.0,0.0,Machine Under Maintenance,0.0,0.0,Machine Under Maintenance
Baghabari 50 MW Peaking PP,HFO,PDB,6*8.9,52.0,52.0,0.0,40.0,40.0,40.0,Engine Problem,40.0,393654.0,Engine Problem
Baghabari 71 MW GTPP,Gas,PDB,1X71,71.0,70.0,0.0,0.0,0.0,0.0,Gas shortage,0.0,0.0,Gas shortage
Bagura 113 MW PP (Confidence)-1,HFO,IPP,6*18.55,113.0,113.0,0.0,35.0,113.0,113.0,Liquid fuel shortage,35.0,313344.0,Liquid fuel shortage
Bagura 113 MW PP (Confidence)-2,HFO,IPP,6*18.55+7.2,113.0,113.0,0.0,35.0,113.0,113.0,Liquid fuel shortage,35.0,318048.0,Liquid fuel shortage
Barapukuria 275 MW TPP Unit-3,Coal,PDB,1*275,274.0,274.0,200.0,180.0,200.0,200.0,Machine Problem,180.0,4633000.0,Machine Problem
Barapukuria TPP Unit-1 & 2,Coal,PDB,1*125+1*125,250.0,170.0,38.0,37.0,38.0,38.0,U-2 Under maint.,37.0,883200.0,U-2 Under maint.
Barisal 1 MW Solar Plant,Solar,IPP,,1.0,1.0,0.32,0.0,1.0,0.0,-,0.0,2817.0,-
Barisal 110 MW PP (Summit ),HFO,IPP,7X17.076,110.0,110.0,0.0,32.0,110.0,110.0,Liquid fuel shortage,32.0,184320.0,Liquid fuel shortage
Barisal 307 MW,Coal,BCPCL,307X1,307.0,307.0,263.0,276.0,307.0,307.0,AGC,276.0,5760000.0,FGMO
Bera 70 MW Peaking PP,HFO,PDB,9*8.29,71.0,71.0,0.0,0.0,32.0,32.0,Engine Problem,0.0,27939.0,Engine Problem
Bhairob 54.5 MW,HFO,IPP,3*18.2,54.0,54.5,0.0,17.0,54.5,54.5,Liquid fuel shortage,17.0,90720.0,Liquid fuel shortage
Bheramara (HVDC ),Import,Import,2X500,1000.0,1000.0,519.0,904.0,1000.0,1000.0,-,904.0,19010909.0,-
Bheramara 410 MW CCPP,Gas,NWPGCL,1X278+1X132,410.0,410.0,0.0,0.0,410.0,410.0,Gas shortage,0.0,0.0,Gas shortage
Bheramara GTPP Unit-3,HSD,PDB,1X20,20.0,16.0,0.0,0.0,0.0,0.0,Contract Expired,0.0,0.0,Contract Expired
Bhola 225 MW CCPP,Gas,PDB,2X63+1X68,194.0,194.0,64.0,65.0,65.0,65.0,GT-1 & ST under maint,65.0,1548000.0,GT-1 & ST under maint
Bhola 33 MW PP (Venture),Gas,NENP,1X34.50,40.0,11.04,0.0,0.0,0.0,0.0,Contract Expired,0.0,0.0,Contract Expired
Bhola Nutan Biddut BD LTD,Gas/HSD,IPP,2*75+1*75,220.0,220.0,220.0,220.0,220.0,220.0,,220.0,5363810.0,MVAR Subjected to Grid Voltage
Bibiana-II 341 MW CCPP (Summit),Gas,IPP,1*222+1*119,341.0,341.0,310.0,315.0,341.0,341.0,Machine Problem,315.0,7510000.0,FGMO
Bibiyana South 400 MW,Gas,PDB,1*400,383.0,383.0,0.0,0.0,0.0,0.0,Under Maintenance,0.0,0.0,Under Maintenance
Bibiyana-III 400 MW CCPP,Gas,PDB,285*1+134*1,400.0,400.0,307.0,245.0,300.0,300.0,Machine Problem,245.0,6858000.0,Machine Problem
Chandpur 115(Doreen),HFO,IPP,4*18.5+2*22.5,115.0,115.0,0.0,50.0,115.0,115.0,Liquid fuel shortage,50.0,581760.0,Liquid fuel shortage
Chandpur 150 MW CCPP,Gas,PDB,1*106+1*57,163.0,163.0,138.0,136.0,163.0,163.0,Low gas pressure,136.0,3422747.0,Low gas pressure
Chandpur 200MW (Desh energy),HFO,IPP,12*18.4,200.0,200.0,22.0,17.0,200.0,200.0,-,17.0,867360.0,Liquid fuel shortage
Chapainawabganj 100 MW Peaking PP,HFO,PDB,12*8.924,104.0,104.0,0.0,42.0,92.0,92.0,Liquid fuel shortage,42.0,426848.0,Liquid fuel shortage
Chattogram 108 MW PP (ECPV),HFO,IPP,16*7,108.0,108.0,5.0,64.0,108.0,108.0,Liquid fuel shortage,64.0,779064.0,Liquid fuel shortage
Chattogram TPP,Gas,PDB,1*210+1*210,420.0,360.0,0.0,0.0,0.0,0.0,"Unit #1 Under Maintenance, Unit#2 Gas Shortage",0.0,0.0,"Unit #1 Under Maintenance, Unit#2 Gas Shortage"
Chowmuhani 113 MW,HFO,IPP,12*9.78+2*3.1,113.0,113.0,0.0,8.0,113.0,113.0,Liquid fuel shortage,8.0,55440.0,Liquid fuel shortage
Cox's Bazar Wind,Wind,PDB,22*3,60.0,60.0,53.0,37.0,8.0,0.0,-,37.0,403200.0,-
Cumilla 25 MW PP (Summit),Gas,"SIPP,REB",3*3.67+2*6.97,25.0,25.0,17.0,17.0,24.5,24.5,-,17.0,385080.0,-
Dohazari -Kalaish 100 MW Peaking,HFO,PDB,6*17,102.0,102.0,0.0,50.0,0.0,51.0,Liquid fuel shortage,50.0,345280.0,Liquid fuel shortage
Energypac Power Venture Thakurgaon Ltd.,HFO,IPP,,115.0,115.0,0.0,95.0,115.0,115.0,Liquid fuel shortage,95.0,819546.0,Liquid fuel shortage
Faridpur 50 MW Peaking PP,HFO,PDB,8*6.89,54.0,54.0,0.0,0.0,0.0,0.0,Engine Problem,0.0,0.0,Liquid fuel shortage
Fenchugonj CCPP Phase-1,Gas,PDB,2*32+1*33,97.0,90.0,29.0,29.0,28.0,28.0,machine problem,29.0,692000.0,Plant availability less
Fenchugonj CCPP Phase-2,Gas,PDB,2*35+1*35,104.0,90.0,0.0,0.0,30.0,30.0,,0.0,0.0,Gas shortage
Feni Lanka Power,HFO,IPP,7*18.415+1*9.78,114.0,114.0,66.0,16.0,114.0,114.0,-,16.0,949620.0,Liquid fuel shortage
