time,gas_public,gas_pvt,hvdc,nepal,tripura,adani,hydro,coal,solar,hfo_public,hfo_pvt,hsd_public,hsd_pvt,wind,shortage,national_load_dispatch_center_nldc
15:00,3535.0,2092.0,507.0,38.0,158.0,1201.2,93.0,5754.0,298.71,113.0,1035.2,0.0,0.0,35.0,504.0,
15:30,3537.0,2076.5,507.0,38.0,160.0,1215.01,92.0,5719.5,258.24,113.5,1078.7,0.0,0.0,30.5,506.5,
16:00,3539.0,2061.0,507.0,38.0,162.0,1228.82,91.0,5685.0,217.77,114.0,1122.2,0.0,0.0,26.0,509.0,
16:30,3499.0,2031.0,612.0,38.0,161.0,1278.995,91.5,5616.5,168.295,113.5,956.1,0.0,0.0,38.0,481.0,
17:00,3459.0,2001.0,717.0,38.0,160.0,1329.17,92.0,5548.0,118.82,113.0,790.0,0.0,0.0,50.0,453.0,
17:30,3440.0,1947.0,809.5,38.0,157.0,1264.77,93.5,5409.5,87.315,177.5,753.9,0.0,0.0,30.5,442.5,
18:00,3421.0,1893.0,902.0,38.0,154.0,1200.37,95.0,5271.0,55.81,242.0,717.8,0.0,0.0,11.0,432.0,
18:30,3389.5,1913.25,902.5,38.0,161.0,1249.515,95.5,5491.5,27.905,406.5,891.3,0.0,0.0,6.0,415.5,
19:00,3358.0,1933.5,903.0,38.0,168.0,1298.66,96.0,5712.0,0.0,571.0,1064.8,0.0,0.0,1.0,399.0,
19:30,3563.0,1979.5,903.0,38.0,168.0,1432.34,97.0,5705.0,0.0,593.0,1792.36,0.0,0.0,9.0,498.0,
20:00,3567.0,1982.5,903.0,38.0,162.0,1464.7,97.0,5617.0,0.0,563.0,1750.36,0.0,0.0,16.0,393.0,
20:30,3557.5,2043.5,903.5,38.0,162.0,1469.77,97.5,5762.5,0.0,545.0,1636.36,0.0,0.0,26.5,441.5,
21:00,3548.0,2104.5,904.0,38.0,162.0,1474.84,98.0,5908.0,0.0,527.0,1522.36,0.0,0.0,37.0,490.0,
21:30,3550.0,2109.0,903.5,38.0,163.0,1475.15,98.0,5938.0,0.0,545.5,1452.36,0.0,0.0,30.0,406.5,
22:00,3552.0,2113.5,903.0,38.0,164.0,1475.46,98.0,5968.0,0.0,564.0,1382.36,0.0,0.0,23.0,323.0,
22:30,3550.5,2137.0,904.0,38.0,165.0,1475.43,98.0,5968.0,0.0,572.0,1361.93,0.0,0.0,21.0,350.5,
23:00,3549.0,2160.5,905.0,38.0,166.0,1475.4,98.0,5968.0,0.0,580.0,1341.5,0.0,0.0,19.0,378.0,
