Row 3 contains the names of relevant pypsa variables,,,,,,,,
Line Name,Start Bus,End Bus,Length(km),Conductor,Line Resistance (Ohm),Line Inductive Reactance (Ohm),Line Shunt Susceptance (Siemens),Line Nominal Capacity (MVA)
name,bus0,bus1,,,r,x,b,s_nom
Shyampur_230kVtoHasnabad_230kV_Line1,Shyampur_230kV,Hasnabad_230kV,12.25,Twin Mallard,0.044155,0.133679,1.37E-05,230
Shyampur_230kVtoHasnabad_230kV_Line2,Shyampur_230kV,Hasnabad_230kV,12.25,Twin Mallard,0.044155,0.133679,1.37E-05,230
CumillaNorth_230kVtoFeniNorth_230kV_Line1,CumillaNorth_230kV,FeniNorth_230kV,70,Finch,0.06397,0.2362,7.17E-06,230
CumillaNorth_230kVtoFeniNorth_230kV_Line2,CumillaNorth_230kV,FeniNorth_230kV,70,Finch,0.06397,0.2362,7.17E-06,230
FeniNorth_230kVtoBSRM_230kV_Line1,FeniNorth_230kV,BSRM_230kV,26,Finch,,,,
FeniNorth_230kVtoBSRM_230kV_Line2,FeniNorth_230kV,BSRM_230kV,26,Finch,,,,
BSRM_230kVtoGPH_230kV_Line1,BSRM_230kV,GPH_230kV,40,Finch,,,,
BSRM_230kVtoGPH_230kV_Line2,BSRM_230kV,GPH_230kV,40,Finch,,,,
GPH_230kVtoAKSPL_230kV_Line1,GPH_230kV,AKSPL_230kV,13,Finch,,,,
GPH_230kVtoAKSPL_230kV_Line2,GPH_230kV,AKSPL_230kV,13,Finch,,,,
AKSPL_230kVtoHathazari_230kV_Line1,AKSPL_230kV,Hathazari_230kV,9,Finch,,,,
AKSPL_230kVtoHathazari_230kV_Line2,AKSPL_230kV,Hathazari_230kV,9,Finch,,,,
AESHaripur_230kVtoHaripur_230kV_Line1,AESHaripur_230kV,Haripur_230kV,2.4,Finch,0.06397,0.2362,7.17E-06,230
AESHaripur_230kVtoHaripur_230kV_Line2,AESHaripur_230kV,Haripur_230kV,2.4,Finch,0.06397,0.2362,7.17E-06,230
CumillaNorth_230kVtoMeghnaghat_230kV_Line1,CumillaNorth_230kV,Meghnaghat_230kV,58,Twin Mallard,0.044155,0.133679,1.37E-05,230
CumillaNorth_230kVtoMeghnaghat_230kV_Line2,CumillaNorth_230kV,Meghnaghat_230kV,58,Twin Mallard,0.044155,0.133679,1.37E-05,230
Tongi_230kVtoKaliakoir_230kV_Line1,Tongi_230kV,Kaliakoir_230kV,25.2,Twin AAAC,0.049545,0.140636,1.31E-05,230
Tongi_230kVtoKaliakoir_230kV_Line2,Tongi_230kV,Kaliakoir_230kV,25.2,Twin AAAC,0.049545,0.140636,1.31E-05,230
Kaliakoir_230kVtoAminbazar_230kV_Line1,Kaliakoir_230kV,Aminbazar_230kV,32,Twin AAAC,,,,
Kaliakoir_230kVtoAminbazar_230kV_Line2,Kaliakoir_230kV,Aminbazar_230kV,32,Twin AAAC,,,,
Aminbazar_230kVtoKeraniganj_230kV_Line1,Aminbazar_230kV,Keraniganj_230kV,10.75,Twin AAAC,0.049545,0.140636,1.31E-05,230
Aminbazar_230kVtoKeraniganj_230kV_Line2,Aminbazar_230kV,Keraniganj_230kV,10.75,Twin AAAC,0.049545,0.140636,1.31E-05,230
Hasnabad_230kVtoKeraniganj_230kV_Line1,Hasnabad_230kV,Keraniganj_230kV,10.75,Twin AAAC,0.049545,0.140636,1.31E-05,230
Hasnabad_230kVtoKeraniganj_230kV_Line2,Hasnabad_230kV,Keraniganj_230kV,10.75,Twin AAAC,0.049545,0.140636,1.31E-05,230
Ashuganj_230kVtoSripur_230kV_Line1,Ashuganj_230kV,Sripur_230kV,75,Twin AAAC,0.049545,0.140636,1.31E-05,230
Ashuganj_230kVtoSripur_230kV_Line2,Ashuganj_230kV,Sripur_230kV,75,Twin AAAC,0.049545,0.140636,1.31E-05,230
Sripur_230kVtoSirajganjSouthWest_230kV_Line1,Sripur_230kV,SirajganjSouthWest_230kV,69,Twin AAAC,,,,
Sripur_230kVtoSirajganjSouthWest_230kV_Line2,Sripur_230kV,SirajganjSouthWest_230kV,69,Twin AAAC,,,,
KhulnaSouth_230kVtoJhenaidahSouth_230kV_Line1,KhulnaSouth_230kV,JhenaidahSouth_230kV,96,Twin AAAC,0.049545,0.140636,1.31E-05,230
KhulnaSouth_230kVtoJhenaidahSouth_230kV_Line2,KhulnaSouth_230kV,JhenaidahSouth_230kV,96,Twin AAAC,0.049545,0.140636,1.31E-05,230
JhenaidahSouth_230kVtoBheramaraHVDC_230kV_Line1,JhenaidahSouth_230kV,BheramaraHVDC_230kV,80.5,Twin AAAC,,,,
