name,substation,v_nom,carrier,transformer_detail,total_capacity_mva,ownership,grid_circle,implicit
Gallamari_132kV,Gallamari,132,AC,2x80/120,240,POWER GRID,Khulna,False
Ghatail_132kV,Ghatail,132,AC,2x50/75,150,POWER GRID,Dhaka(N),False
Ghorashal_132kV,Ghorashal,132,AC,2x41/63,126,BPDB,Dhaka(N),False
Goalpara_132kV,Goalpara,132,AC,2x25/41,82,POWER GRID,Khulna,False
Gopalganj_132kV,Gopalganj,132,AC,2x80/120,240,POWER GRID,Khulna,False
Gulshan_132kV,Gulshan,132,AC,2x80/120,240,POWER GRID,Dhaka(S),False
Halishahar_132kV,Halishahar,132,AC,"1x44.1/63, 2x80/120",303,POWER GRID,Chattogram,False
Haripur SBU_132kV,Haripur SBU,132,AC,2x80/120,240,POWER GRID,Dhaka(S),False
Hasnabad_132kV,Hasnabad,132,AC,3x66/100,300,POWER GRID,Dhaka(S),False
Hathazari_132kV,Hathazari,132,AC,"1x50/75, 1x80/120",195,POWER GRID,Chattogram,False
Ishwardi_132kV,Ishwardi,132,AC,"2x50/75, 1x80/120",270,POWER GRID,HVDC,False
Jaldhaka_132kV,Jaldhaka,132,AC,2x50/75,150,POWER GRID,Bogura,False
Jamalpur_132kV,Jamalpur,132,AC,"3x50/75, 1x25/41",266,POWER GRID,Dhaka(N),False
Jashore_132kV,Jashore,132,AC,3x80/120,360,POWER GRID,HVDC,False
Jhenaidah_132kV,Jhenaidah,132,AC,"2x80/120, 1x50/83.3",323.3,POWER GRID,HVDC,False
Joydebpur_132kV,Joydebpur,132,AC,"1x35/50 1x50/75, 1x80/120",245,POWER GRID,Dhaka(N),False
Joypurhat_132kV,Joypurhat,132,AC,4x25/41,164,POWER GRID,Bogura,False
Juldah_132kV,Juldah,132,AC,2x50/75,150,POWER GRID,Chattogram,False
Kabirpur_132kV,Kabirpur,132,AC,3x80/120,360,POWER GRID,Dhaka(N),False
Kachua_132kV,Kachua,132,AC,2x50/75,150,POWER GRID,Cumilla,False
Kallayanpur_132kV,Kallayanpur,132,AC,3x50/75,225,POWER GRID,Dhaka(N),False
Kalurghat_132kV,Kalurghat,132,AC,2x80/120,240,POWER GRID,Chattogram,False
