line_name,bus0,bus1,Length(km),Line Resistance (Ohm),Line Inductive Reactance (Ohm),Line Shunt Susceptance (Siemens),s_nom (MVA)
Jhenaidah_132kVtoBheramara_230kV_Line1,Jhenaidah_132kV,Bheramara_230kV,2.0,0.044155,0.133679,1.3746e-05,230
Jhenaidah_132kVtoBheramara_230kV_Line2,Jhenaidah_132kV,Bheramara_230kV,2.0,0.044155,0.133679,1.3746e-05,230
Jhenaidah_132kVtoBheramara_230kV_Line3,Jhenaidah_132kV,Bheramara_230kV,2.0,0.044155,0.133679,1.3746e-05,230
Jhenaidah_132kVtoBheramara_230kV_Line4,Jhenaidah_132kV,Bheramara_230kV,2.0,0.044155,0.133679,1.3746e-05,230
Sikalbaha_230kVtoHathazari_230kV_Line1,Sikalbaha_230kV,Hathazari_230kV,28.35,0.022077,0.078468,2.7491e-05,230
Sikalbaha_230kVtoHathazari_230kV_Line2,Sikalbaha_230kV,Hathazari_230kV,28.35,0.022077,0.078468,2.7491e-05,230
Mongla_230kVtoKhulna (S)_230kV_Line1,Mongla_230kV,Khulna (S)_230kV,24.0,0.044155,0.133679,1.3746e-05,230
Mongla_230kVtoKhulna (S)_230kV_Line2,Mongla_230kV,Khulna (S)_230kV,24.0,0.044155,0.133679,1.3746e-05,230
Barishal (N)_230kVtoGopalganj_132kV_Line1,Barishal (N)_230kV,Gopalganj_132kV,75.0,0.035324,0.133679,1.3746e-05,230
Barishal (N)_230kVtoGopalganj_132kV_Line2,Barishal (N)_230kV,Gopalganj_132kV,75.0,0.035324,0.133679,1.3746e-05,230
Gopalganj_132kVtoFaridpur_230kV_Line1,Gopalganj_132kV,Faridpur_230kV,49.0,0.035324,0.133679,1.3746e-05,230
Gopalganj_132kVtoFaridpur_230kV_Line2,Gopalganj_132kV,Faridpur_230kV,49.0,0.035324,0.133679,1.3746e-05,230
Madunaght_230kVtoSikalbaha_230kV_Line1,Madunaght_230kV,Sikalbaha_230kV,11.7,0.022077,0.078468,2.7491e-05,230
Madunaght_230kVtoSikalbaha_230kV_Line2,Madunaght_230kV,Sikalbaha_230kV,11.7,0.022077,0.078468,2.7491e-05,230
RNPP_230kVtoBaghabari_230kV_Line1,RNPP_230kV,Baghabari_230kV,65.5,0.035324,0.133679,1.3746e-05,230
RNPP_230kVtoBaghabari_230kV_Line2,RNPP_230kV,Baghabari_230kV,65.5,0.035324,0.133679,1.3746e-05,230
