place,class,voltages,bus_names,lat,lon,matched_name,osm_id,feature_power,score,confidence,status,source,note
Gallamari,town,132,Gallamari_132kV,22.7882233,89.5362802,Gallamari,way/147998690,substation,100.0,high,accepted,osm,
Gazaria,town,230,Gazaria_230kV,22.8674949,89.5378573,Goalpara,way/148142798,substation,66.7,low,unresolved,osm,
Ghatail,town,132,Ghatail_132kV,24.5417859,89.9869949,Ghatail,way/1382288591,substation,100.0,high,accepted,osm,
Ghorashal,town,132|230,Ghorashal_132kV|Ghorashal_230kV,23.9786729,90.6370646,ঘোড়াশাল,way/147998669,plant,100.0,high,accepted,osm,
GhorashalSouthWest,plant,230,GhorashalSouthWest_230kV,23.9787709,90.6371689,Ghorasal,way/147998606,substation,100.0,high,accepted,osm,
Goalpara,plant,132,Goalpara_132kV,22.8674949,89.5378573,Goalpara,way/148142798,substation,100.0,high,accepted,osm,
Gopalganj,plant,132,Gopalganj_132kV,23.0299337,89.8197497,Gopalganj Peaking Power Plant,way/354528962,plant,100.0,high,accepted,osm,constrained re-match (2 discs)
GopalganjNorth,town,132|230|400,GopalganjNorth_132kV|GopalganjNorth_230kV|GopalganjNorth_400kV,23.0300078,89.8268809,Gopalganj,way/354528965,substation,90.0,high,reopened,osm,constrained re-match (5 discs)
GopalganjPP,plant,132,GopalganjPP_132kV,23.0300078,89.8268809,Gopalganj,way/354528965,substation,100.0,high,accepted,osm,constrained re-match (1 discs)
Gulshan,town,132,Gulshan_132kV,23.7799032,90.417605,"DESCO Sales & Distribution Division, Gulshan",way/369339774,substation,73.3,high,accepted,osm,constrained re-match (1 discs)
Halishahar,plant,132,Halishahar_132kV,22.3350084,91.8771297,Baraka Shikalbaha and Karnaphuli power plant,way/757725737,plant,100.0,high,accepted,osm,
Haripur,plant,132|230,Haripur_132kV|Haripur_230kV,23.6782063,90.5329568,Haripur Power Limited,way/147998623,plant,100.0,high,accepted,osm,constrained re-match (3 discs)
Hasnabad,plant,132|230,Hasnabad_132kV|Hasnabad_230kV,23.6810929,90.4278918,Hasnabad,way/147998642,substation,100.0,high,accepted,osm,
Hathazari,plant,132|230,Hathazari_132kV|Hathazari_230kV,22.491431,91.8062747,Hathazari Power Station,way/211045459,plant,100.0,high,accepted,osm,
Hatirjheel,town,132,Hatirjheel_132kV,,,,,,,none,unresolved,osm,
Ishwardi,town,132|230,Ishwardi_132kV|Ishwardi_230kV,24.0972663,89.0844742,Ishurdi,way/148155161,substation,100.0,high,accepted,osm,
Jaldhaka,town,132,Jaldhaka_132kV,26.0424257,88.9937637,Jaldhaka,way/1000496962,substation,100.0,high,accepted,osm,
Jamalpur,plant,132,Jamalpur_132kV,24.9200701,89.9602007,Jamalpur Sub Station,way/210993427,substation,100.0,high,accepted,osm,constrained re-match (1 discs)
