400 kV Transmission Line,,,,,,,,,,,,,,,
SN,Name of Lines,,,"Length in
Route km",,,"Length in
Ckt. Km",,,"No. of
Ckt.",,,Conductor,,
62,Ghorasal GIS2AIS double circuit,,,,1.10,,,2.20,,,Double,,,XLPE,2000 sq. mm.
63,Ghorasal GIS2AIS 3rd Circuit,,,,1.10,,,1.10,,,Single,,,XLPE,2000 sq. mm.
,LILO of Cumilla (N)- BSRM at Feni,,,,,,,,,,,,,,
,Total,,,,2264.0,,,5028,,,,,,,
,,,,,,,,,,,,,,,
132 kV Transmission Line,,,,,,,,,,,,,,,
SN,Name of Lines,"Length in
Route km","Length in
Ckt. Km",No. of Ckt.,,Conductor,,,,,,,,,
,,,,,,Name,,,Size,,,,,,
1,Shahjibazar-Brahmanbaria,57.0,114,Double,,Grosbeak,,,636 MCM,,,,,,
2,Brahmanbaria-Ashuganj,17,33,Double,,Grosbeak,,,636 MCM,,,,,,
3,Ashuganj-Ghorasal,45,91,Double,,ACCC Grosbeak,,,636 MCM,,,,,,
4,Ghorasal-Narsingdi,13,27,Double,,Grosbeak,,,636 MCM,,,,,,
5,Narsingdi-Haripur,34,34,Single,,Grosbeak,,,636 MCM,,,,,,
6,Narsingdi-Bhulta,16,16,Single,,Grosbeak,,,636 MCM,,,,,,
7,Bhulta-Haripur,15,15,Single,,ACCC Grosbeak,,,636 MCM,,,,,,
8,Haripur-Siddhirganj,2.0,4,Double,,Grosbeak,,,636 MCM,,,,,,
9,Shahjibazar-Srimangal,36,72,Double,,Grosbeak,,,636 MCM,,,,,,
10,Srimangal-Fenchuganj,49.0,98,Double,,Grosbeak,,,636 MCM,,,,,,
11,Fenchuganj-Fenchuganj PS,4,15,Four,,ACCC Grosbeak,,,636 MCM,,,,,,
12,Fenchuganj-Sylhet,32,63,Double,,ACCC Grosbeak,,,636 MCM,,,,,,
13,Sylhet-Chhatak,33,66,Double,,Grosbeak,,,636 MCM,,,,,,
14,Kaptai-Hathazari,45.0,90,Double,,Grosbeak,,,636 MCM,,,,,,
15,Hathazari-Baroirhat,63,127,Double,,Grosbeak,,,636 MCM,,,,,,
16,Feni-Comilla (N),66.0,132,Double,,Grosbeak,,,636 MCM,,,,,,
17,Comilla (N)- Daudkandi,55.0,110,Double,,Grosbeak/AAAC,,,636 MCM,,,,,,
18,Daudkandi-Sonargaon,62,123,Double,,Grosbeak/AAAC,,,636 MCM,,,,,,
19,Sonargaon-Haripur,15.0,30,Double,,Grosbeak/AAAC,,,636 MCM,,,,,,
20,Haripur-Siddhirganj,2,5,Double,,Grosbeak,,,636 MCM,,,,,,
21,Khulshi-Halishahar,13.0,26,Double,,Grosbeak,,,636 MCM,,,,,,
22,Comilla (N)-Chandpur,78,78,Single,,"Linnet +
Grosbeak",,,"(336.4 + 636)
MCM",,,,,,
23,Comilla (N)-Comilla (S),16,16,Single,,Grosbeak,,,636 MCM,,,,,,
