start_node,end_node,voltage_level,approx_length_km,status,line_name
Siddhirganj 210 MW P/S,Haripur,230 kV,1.5,Existing,Siddhirganj 210 MW P/S_230kVtoHaripur_230kV_Line1
Ashuganj,Sirajganj,230 kV,144.0,Existing,Ashuganj_230kVtoSirajganj_230kV_Line1
Ashuganj,Sirajganj,230 kV,144.0,Existing,Ashuganj_230kVtoSirajganj_230kV_Line2
Khulna,Bheramara HVDC,230 kV,176.5,Existing,Khulna_230kVtoBheramara HVDC_230kV_Line1
Khulna,Bheramara HVDC,230 kV,176.5,Existing,Khulna_230kVtoBheramara HVDC_230kV_Line2
Bheramara HVDC,Ishurdi,230 kV,10.1,Existing,Bheramara HVDC_230kVtoIshurdi_230kV_Line1
Bheramara HVDC,Ishurdi,230 kV,10.1,Existing,Bheramara HVDC_230kVtoIshurdi_230kV_Line2
Bogra,Barapukuria,230 kV,106.0,Existing,Bogra_230kVtoBarapukuria_230kV_Line1
Bogra,Barapukuria,230 kV,106.0,Existing,Bogra_230kVtoBarapukuria_230kV_Line2
Sirajganj,Bogra,230 kV,72.5,Existing,Sirajganj_230kVtoBogra_230kV_Line1
Sirajganj,Bogra,230 kV,72.5,Existing,Sirajganj_230kVtoBogra_230kV_Line2
Ishurdi,Baghabari,230 kV,55.0,Existing,Ishurdi_230kVtoBaghabari_230kV_Line1
Ishurdi,Baghabari,230 kV,55.0,Existing,Ishurdi_230kVtoBaghabari_230kV_Line2
Baghabari,Sirajganj,230 kV,38.0,Existing,Baghabari_230kVtoSirajganj_230kV_Line1
Baghabari,Sirajganj,230 kV,38.0,Existing,Baghabari_230kVtoSirajganj_230kV_Line2
Fenchuganj,Bibiyana,230 kV,33.0,Existing,Fenchuganj_230kVtoBibiyana_230kV_Line1
Fenchuganj,Bibiyana,230 kV,33.0,Existing,Fenchuganj_230kVtoBibiyana_230kV_Line2
Bibiyana,Comilla(N),230 kV,154.0,Existing,Bibiyana_230kVtoComilla(N)_230kV_Line1
Bibiyana,Comilla(N),230 kV,154.0,Existing,Bibiyana_230kVtoComilla(N)_230kV_Line2
Aminbazar,Old Airport (O/H),230 kV,4.0,Existing,Aminbazar_230kVtoOld Airport (O/H)_230kV_Line1
Aminbazar,Old Airport (O/H),230 kV,4.0,Existing,Aminbazar_230kVtoOld Airport (O/H)_230kV_Line2
Aminbazar,Old Airport (U/G),230 kV,4.0,Existing,Aminbazar_230kVtoOld Airport (U/G)_230kV_Line1
Aminbazar,Old Airport (U/G),230 kV,4.0,Existing,Aminbazar_230kVtoOld Airport (U/G)_230kV_Line2
Siddhirganj,Maniknagar,230 kV,11.0,Existing,Siddhirganj_230kVtoManiknagar_230kV_Line1
Siddhirganj,Maniknagar,230 kV,11.0,Existing,Siddhirganj_230kVtoManiknagar_230kV_Line2
Bhola,Barisal,230 kV,62.5,Existing,Bhola_230kVtoBarisal_230kV_Line1
Bhola,Barisal,230 kV,62.5,Existing,Bhola_230kVtoBarisal_230kV_Line2
BSRM,Comilla(N),230 kV,0.0,Existing,BSRM_230kVtoComilla(N)_230kV_Line1
BSRM,Comilla(N),230 kV,0.0,Existing,BSRM_230kVtoComilla(N)_230kV_Line2
BSRM,Hathazari,230 kV,0.0,Existing,BSRM_230kVtoHathazari_230kV_Line1
BSRM,Hathazari,230 kV,0.0,Existing,BSRM_230kVtoHathazari_230kV_Line2
AKSPL,Comilla(N),230 kV,6.5,Existing,AKSPL_230kVtoComilla(N)_230kV_Line1
AKSPL,Comilla(N),230 kV,6.5,Existing,AKSPL_230kVtoComilla(N)_230kV_Line2
AKSPL,Hathazari,230 kV,6.5,Existing,AKSPL_230kVtoHathazari_230kV_Line1
AKSPL,Hathazari,230 kV,6.5,Existing,AKSPL_230kVtoHathazari_230kV_Line2
Kaliakoir,Aminbazar,230 kV,32.0,Existing,Kaliakoir_230kVtoAminbazar_230kV_Line1
Kaliakoir,Aminbazar,230 kV,32.0,Existing,Kaliakoir_230kVtoAminbazar_230kV_Line2
Kaliakoir,Aminbazar,230 kV,32.0,Existing,Kaliakoir_230kVtoAminbazar_230kV_Line3
Kaliakoir,Aminbazar,230 kV,32.0,Existing,Kaliakoir_230kVtoAminbazar_230kV_Line4
Kaliakoir,Tongi,230 kV,32.0,Existing,Kaliakoir_230kVtoTongi_230kV_Line1
Kaliakoir,Tongi,230 kV,32.0,Existing,Kaliakoir_230kVtoTongi_230kV_Line2
Kaliakoir,Tongi,230 kV,32.0,Existing,Kaliakoir_230kVtoTongi_230kV_Line3
Kaliakoir,Tongi,230 kV,32.0,Existing,Kaliakoir_230kVtoTongi_230kV_Line4
Bheramara HVDC,Bheramara 230,230 kV,3.0,Existing,Bheramara HVDC_230kVtoBheramara 230_230kV_Line1
Bheramara HVDC,Bheramara 230,230 kV,3.0,Existing,Bheramara HVDC_230kVtoBheramara 230_230kV_Line2
Bhulta,Ghorashal,230 kV,2.0,Existing,Bhulta_230kVtoGhorashal_230kV_Line1
Bhulta,Ghorashal,230 kV,2.0,Existing,Bhulta_230kVtoGhorashal_230kV_Line2
Bhulta,Rampura,230 kV,2.0,Existing,Bhulta_230kVtoRampura_230kV_Line1
Bhulta,Rampura,230 kV,2.0,Existing,Bhulta_230kVtoRampura_230kV_Line2
Bhulta,Haripur,230 kV,3.0,Existing,Bhulta_230kVtoHaripur_230kV_Line1
Bhulta,Haripur,230 kV,3.0,Existing,Bhulta_230kVtoHaripur_230kV_Line2
Bhulta,Haripur,230 kV,3.0,Existing,Bhulta_230kVtoHaripur_230kV_Line3
Bhulta,Haripur,230 kV,3.0,Existing,Bhulta_230kVtoHaripur_230kV_Line4
Bhulta,Rampura,230 kV,3.0,Existing,Bhulta_230kVtoRampura_230kV_Line1
Bhulta,Rampura,230 kV,3.0,Existing,Bhulta_230kVtoRampura_230kV_Line2
Bhulta,Rampura,230 kV,3.0,Existing,Bhulta_230kVtoRampura_230kV_Line3
Bhulta,Rampura,230 kV,3.0,Existing,Bhulta_230kVtoRampura_230kV_Line4
Haripur,Siddhirganj,230 kV,2.0,Existing,Haripur_230kVtoSiddhirganj_230kV_Line1
Haripur,Siddhirganj,230 kV,2.0,Existing,Haripur_230kVtoSiddhirganj_230kV_Line2
Bheramara HVDC,Ishwardi,230 kV,12.8,Existing,Bheramara HVDC_230kVtoIshwardi_230kV_Line1
Bheramara HVDC,Ishwardi,230 kV,12.8,Existing,Bheramara HVDC_230kVtoIshwardi_230kV_Line2
Kodda PP,Tongi,230 kV,1.0,Existing,Kodda PP_230kVtoTongi_230kV_Line1
Kodda PP,Tongi,230 kV,1.0,Existing,Kodda PP_230kVtoTongi_230kV_Line2
Kodda PP,Kaliakoir,230 kV,1.0,Existing,Kodda PP_230kVtoKaliakoir_230kV_Line1
Kodda PP,Kaliakoir,230 kV,1.0,Existing,Kodda PP_230kVtoKaliakoir_230kV_Line2
Keraniganj,Hasnabad,230 kV,0.0,Existing,Keraniganj_230kVtoHasnabad_230kV_Line1
Keraniganj,Hasnabad,230 kV,0.0,Existing,Keraniganj_230kVtoHasnabad_230kV_Line2
Keraniganj,Hasnabad,230 kV,0.0,Existing,Keraniganj_230kVtoHasnabad_230kV_Line3
Keraniganj,Hasnabad,230 kV,0.0,Existing,Keraniganj_230kVtoHasnabad_230kV_Line4
Keraniganj,Aminbazar,230 kV,0.0,Existing,Keraniganj_230kVtoAminbazar_230kV_Line1
Keraniganj,Aminbazar,230 kV,0.0,Existing,Keraniganj_230kVtoAminbazar_230kV_Line2
Keraniganj,Aminbazar,230 kV,0.0,Existing,Keraniganj_230kVtoAminbazar_230kV_Line3
Keraniganj,Aminbazar,230 kV,0.0,Existing,Keraniganj_230kVtoAminbazar_230kV_Line4
Sikalbaha,Anowara,230 kV,17.0,Existing,Sikalbaha_230kVtoAnowara_230kV_Line1
Sikalbaha,Anowara,230 kV,17.0,Existing,Sikalbaha_230kVtoAnowara_230kV_Line2
Shyampur,Hasnabad,230 kV,0.0,Existing,Shyampur_230kVtoHasnabad_230kV_Line1
Shyampur,Hasnabad,230 kV,0.0,Existing,Shyampur_230kVtoHasnabad_230kV_Line2
Shyampur,Hasnabad,230 kV,0.0,Existing,Shyampur_230kVtoHasnabad_230kV_Line3
