,,,,,,,,,,QF-SPL-01
,,,,,,,,,,
,,,,,,,,,,
SN,"Name of Grid
Substation","Operation
Zone","Transformer
Detail (MVA)",,"Total Capacity
(MVA)",,Owership,Grid Circle,,
140,Purbasadipur,Rangpur,"1x80/120,
1x25/41 2x50/75",,311,,POWER GRID,Bogura,,
141,RSRM,Dhaka,1x20/25,,25,,Bulk,Dhaka(S),,
142,Rajbari,Khulna,"2x50/75, 1x25/41",,191,,POWER GRID,Khulna,,
143,Rajshahi,Rajshahi,"1x80/120,
1x50/75,1x35/50",,290,,POWER GRID,Bogura,,
144,Rajshahi(N),Rajshahi,2x80/120,,240,,POWER GRID,Bogura,,
145,Rajendrapur,Dhaka,3x80/120,,360,,POWER GRID,Dhaka(N),,
146,Ramganj,Cumilla,2x50/75,,150,,POWER GRID,Cumilla,,
147,Rampur,Chattogram,2x80/120,,240,,POWER GRID,Chattogram,,
148,Rangamati,Chattogram,2x25/41,,82,,POWER GRID,Chattogram,,
149,Rangpur,Rangpur,"2x80/120, 1x25/41",,281,,POWER GRID,Bogura,,
150,Rooppur,Rajshahi,2x25/41,,82,,MoST,HVDC,,
151,Saidpur,Rangpur,"1x35/50, 2x50/75",,241,,POWER GRID,Bogura,,
152,Satkhira,Khulna,"2x25/41, 1x40
1x80/120",,242,,POWER GRID,Khulna,,
153,Sathia,Rajshahi,2x50/75,,150,,POWER GRID,HVDC,,
154,Satmasjid,Dhaka,2x80/120,,240,,POWER GRID,Dhaka(N),,
155,Savar,Dhaka,4x50/75,,300,,POWER GRID,Dhaka(N),,
156,Seven Circle,Dhaka,2x30,,60,,Bulk,Dhaka(S),,
157,Shah Cement,Dhaka,1x80/120,,120,,Private,Dhaka(S),,
158,Shahjadpur,Rajshahi,"2x50/75, 2x35/50",,250,,POWER GRID,HVDC,,
159,Shahjibazar,Sylhet,"1x25/41, 1x50/75,
1x80/120",,236,,POWER GRID,Cumilla,,
160,Shahmirpur,Chattogram,2x48/64,,128,,POWER GRID,Chattogram,,
161,Shariatpur,Khulna,2x80/120,,240,,POWER GRID,Khulna,,
162,Sherpur,Mymensingh,3x50/75,,225,,POWER GRID,Dhaka(N),,
163,Sherpur(Bogura),Rajshahi,3x50/75,,225,,POWER GRID,Bogura,,
164,Sholoshahar,Chattogram,2x80/120,,240,,POWER GRID,Chattogram,,
165,Shyampur,Dhaka,"2x50/75, 2x80/120",,390,,DPDC,Dhaka(S),,
166,Siddhirganj,Dhaka,3x80/120,,360,,POWER GRID,Dhaka(S),,
167,Sikalbaha,Chattogram,"1x25/41.6,
1x50/75 Pag",,"116.6
e 5 of 6",,BPDB,Chattogram,,
168,Sitakunda,Chattogram,2x50/75,,150,,POWER GRID,Chattogram,,
,,,,,,,,,,
,,,,,,,,,,QF-SPL-01
,,,,,,,,,,
,,,,,,,,,,
SN,"Name of Grid
Substation","Operation
Zone","Transformer
Detail (MVA)",,"Total Capacity
(MVA)",,Owership,Grid Circle,Voltage Level,
169,Sirajganj,Rajshahi,"2x50/75, 2x80/120",,390,,POWER GRID,Bogura,132/33kV,
170,Sitalakhya,Dhaka,3x50/75,,225,,DPDC,Dhaka(S),132/33kV,
171,Sonargaon,Dhaka,2x80/120,,240,,POWER GRID,Dhaka(S),132/33kV,
172,Srimangal,Sylhet,"1x15/20, 3x25/41",,143,,POWER GRID,Cumilla,132/33kV,
173,Sreenagar,Dhaka,2x50/75,,150,,POWER GRID,Dhaka(S),132/33kV,
174,SSML,Chattogram,1x25/30,,30,,Bulk,Chattogram,132/33kV,
175,Sripur,Dhaka,2x50/75,,150,,POWER GRID,Dhaka(N),132/33kV,
176,Sunamganj,Sylhet,"2x30/39
(2x3x10/13)",,78,,POWER GRID,Cumilla,132/33kV,
177,Sylhet,Sylhet,"1x80/120,
2x25/41,1x50/83",,285,,POWER GRID,Cumilla,132/33kV,
178,Sylhet (S),Sylhet,2x50/75,,150,,POWER GRID,Cumilla,132/33kV,
179,Tangail,Mymensingh,"2x80/120,
1x50/75, 1x25/41",,356,,POWER GRID,Dhaka(N),132/33kV,
180,Taraganj,Rangpur,2x25/41,,82,,POWER GRID,Bogura,132/33kV,
181,Tasnim Chemical,Dhaka,1x80/120,,120,,Bulk,Dhaka(S),132/33kV,
182,Thakurgaon,Rangpur,"2x50/75, 1x25/41",,191,,POWER GRID,Bogura,132/33kV,
183,TKCCL,Chattogram,2x50/75,,75,,Bulk,Chattogram,132/33kV,
184,Tongi,Dhaka,"1x50/75, 2x80/120",,315,,POWER GRID,Dhaka(N),132/33kV,
185,Tongi-3 (Mill Gate),Dhaka,2x80/120,,240,,DESCO,Dhaka(N),132/33kV,
186,Ullapara,Rajshahi,2x80/120,,240,,POWER GRID,HVDC,132/33kV,
187,Ullon,Dhaka,3x35/50,,150,,DPDC,Dhaka(S),132/33kV,
188,Uttara 3P,Dhaka,2x80/120,,240,,DESCO,Dhaka(N),132/33kV,
189,Uttara,Dhaka,3x80/120,,360,,DESCO,Dhaka(N),132/33kV,
190,Zigatola,Dhaka,2x80/120,,240,,DPDC,Dhaka(S),132/33kV,
,,,,,,,,,,
,,,,Page 1 of 1,,,,,,
