name,bus0,bus1,length,r_ohm_per_km,x_ohm_per_km,b_siemens_per_km,v_nom_kv,n_circuits,conductor,is_lilo,source_name
Bheramara_Bangladesh Border_TL_1,Bheramara_400kV,Bangladesh Border_400kV,27.35,0.026,0.321,3.4e-06,400,2,Twin Finch,False,HVDC Bheramara-Bangladesh Border(Baharampur)
Bheramara_Bangladesh Border_TL_2,Bheramara_400kV,Bangladesh Border_400kV,27.35,0.026,0.321,3.4e-06,400,2,Twin Finch,False,HVDC Bheramara-Bangladesh Border(Baharampur)
Aminbazar_Meghnaghat_TL_1,Aminbazar_400kV,Meghnaghat_400kV,55.0,0.0162,0.297,6.1e-06,400,2,Quad Egret,False,Aminbazar-Meghnaghat
Aminbazar_Meghnaghat_TL_2,Aminbazar_400kV,Meghnaghat_400kV,55.0,0.0162,0.297,6.1e-06,400,2,Quad Egret,False,Aminbazar-Meghnaghat
Cumilla (N)_Bangladesh Border_TL_1,Cumilla (N)_400kV,Bangladesh Border_400kV,28.0,0.026,0.321,3.4e-06,400,2,Twin Finch,False,Comilla(N)- Bangladesh Border
Cumilla (N)_Bangladesh Border_TL_2,Cumilla (N)_400kV,Bangladesh Border_400kV,28.0,0.026,0.321,3.4e-06,400,2,Twin Finch,False,Comilla(N)- Bangladesh Border
Bibiyana_Kaliakoir_TL_1,Bibiyana_400kV,Kaliakoir_400kV,169.5,0.026,0.321,3.4e-06,400,2,Twin Finch,False,Bibiyana-Kaliakoir
Bibiyana_Kaliakoir_TL_2,Bibiyana_400kV,Kaliakoir_400kV,169.5,0.026,0.321,3.4e-06,400,2,Twin Finch,False,Bibiyana-Kaliakoir
Ashuganj (N)_Bhulta_TL_1,Ashuganj (N)_400kV,Bhulta_400kV,69.0,0.026,0.321,3.4e-06,400,2,Twin Finch,False,Ashuganj(N)-Bhulta
Ashuganj (N)_Bhulta_TL_2,Ashuganj (N)_400kV,Bhulta_400kV,69.0,0.026,0.321,3.4e-06,400,2,Twin Finch,False,Ashuganj(N)-Bhulta
Payra_Gopalganj (N)_TL_1,Payra_400kV,Gopalganj (N)_400kV,163.55,0.011,0.275,6.8e-06,400,2,Quad ACCC Finch,False,Payra-Gopalganj(N)
Payra_Gopalganj (N)_TL_2,Payra_400kV,Gopalganj (N)_400kV,163.55,0.011,0.275,6.8e-06,400,2,Quad ACCC Finch,False,Payra-Gopalganj(N)
BSRM_230kV_Mirsarai_230kV_TL_1,BSRM_230kV,Mirsarai_230kV,16.5,0.0852,0.4097,2.73e-06,400,2,Twin ACCC Finch,False,BSRM- Mirsarai
BSRM_230kV_Mirsarai_230kV_TL_2,BSRM_230kV,Mirsarai_230kV,16.5,0.0852,0.4097,2.73e-06,400,2,Twin ACCC Finch,False,BSRM- Mirsarai
Bheramara_Bangladesh Border_TL_1,Bheramara_400kV,Bangladesh Border_400kV,28.0,0.026,0.321,3.4e-06,400,2,Twin Finch,False,HVDC Bheramara-Bangladesh Border(Baharampur) 2nd
Bheramara_Bangladesh Border_TL_2,Bheramara_400kV,Bangladesh Border_400kV,28.0,0.026,0.321,3.4e-06,400,2,Twin Finch,False,HVDC Bheramara-Bangladesh Border(Baharampur) 2nd
Payra_Payra_TL_1,Payra_400kV,Payra_400kV,1.2,0.026,0.321,3.4e-06,400,2,,False,Payra PP - Payra SS
Payra_Payra_TL_2,Payra_400kV,Payra_400kV,1.2,0.026,0.321,3.4e-06,400,2,,False,Payra PP - Payra SS
Banskhali_Madunaghat_TL_1,Banskhali_400kV,Madunaghat_400kV,55.5,0.013,0.282,6.8e-06,400,2,LL-Quad ACSR Finch,False,Banskhali-Madunaghat
Banskhali_Madunaghat_TL_2,Banskhali_400kV,Madunaghat_400kV,55.5,0.013,0.282,6.8e-06,400,2,LL-Quad ACSR Finch,False,Banskhali-Madunaghat
Matarbari_132kV_Madunaghat_TL_1,Matarbari_132kV,Madunaghat_400kV,3.5,0.013,0.282,6.8e-06,400,4,LL-Quad ACSR Finch,False,LILO of Matarbari-Madunaghat
Matarbari_132kV_Madunaghat_TL_2,Matarbari_132kV,Madunaghat_400kV,3.5,0.013,0.282,6.8e-06,400,4,LL-Quad ACSR Finch,False,LILO of Matarbari-Madunaghat
Matarbari_132kV_Madunaghat_TL_3,Matarbari_132kV,Madunaghat_400kV,3.5,0.013,0.282,6.8e-06,400,4,LL-Quad ACSR Finch,False,LILO of Matarbari-Madunaghat
Matarbari_132kV_Madunaghat_TL_4,Matarbari_132kV,Madunaghat_400kV,3.5,0.013,0.282,6.8e-06,400,4,LL-Quad ACSR Finch,False,LILO of Matarbari-Madunaghat
Monakosa_Rahanpur_TL_1,Monakosa_400kV,Rahanpur_400kV,30.0,0.013,0.282,6.8e-06,400,2,Quad ACSR Finch,False,Monakosa-Rahanpur
Monakosa_Rahanpur_TL_2,Monakosa_400kV,Rahanpur_400kV,30.0,0.013,0.282,6.8e-06,400,2,Quad ACSR Finch,False,Monakosa-Rahanpur
Rampal_Gopalganj_132kV_TL_1,Rampal_400kV,Gopalganj_132kV,96.7,0.011,0.275,6.8e-06,400,2,Quad ACCC Finch,False,Rampal-Gopalganj
Rampal_Gopalganj_132kV_TL_2,Rampal_400kV,Gopalganj_132kV,96.7,0.011,0.275,6.8e-06,400,2,Quad ACCC Finch,False,Rampal-Gopalganj
Gopalganj_132kV_Aminbazar_TL_1,Gopalganj_132kV,Aminbazar_400kV,75.3,0.011,0.275,6.8e-06,400,2,Quad ACCC Finch,False,Gopalganj-Aminbazar(With River)
Gopalganj_132kV_Aminbazar_TL_2,Gopalganj_132kV,Aminbazar_400kV,75.3,0.011,0.275,6.8e-06,400,2,Quad ACCC Finch,False,Gopalganj-Aminbazar(With River)
Gopalganj_132kV_Aminbazar_TL_1,Gopalganj_132kV,Aminbazar_400kV,7.5,0.011,0.275,6.8e-06,400,2,Quad ACCC Finch,False,Gopalganj-Aminbazar River Crossing
Gopalganj_132kV_Aminbazar_TL_2,Gopalganj_132kV,Aminbazar_400kV,7.5,0.011,0.275,6.8e-06,400,2,Quad ACCC Finch,False,Gopalganj-Aminbazar River Crossing
Bogura (W)_Rahanpur_TL_1,Bogura (W)_400kV,Rahanpur_400kV,105.0,0.0852,0.4097,2.73e-06,400,2,Twin ACCC Finch,False,Bogura(West)-Rahanpur
Bogura (W)_Rahanpur_TL_2,Bogura (W)_400kV,Rahanpur_400kV,105.0,0.0852,0.4097,2.73e-06,400,2,Twin ACCC Finch,False,Bogura(West)-Rahanpur
Barguna_132kV_Payra_TL_1,Barguna_132kV,Payra_400kV,27.8,0.0519,0.3986,2.86e-06,400,1,Single ACSR Finch,False,Barguna PP - Payra PP
Matarbari_132kV_Banskhali_TL_1,Matarbari_132kV,Banskhali_400kV,38.0,0.013,0.282,6.8e-06,400,2,LL-Quad ACSR Finch,False,Matarbari-Banskhali
Matarbari_132kV_Banskhali_TL_2,Matarbari_132kV,Banskhali_400kV,38.0,0.013,0.282,6.8e-06,400,2,LL-Quad ACSR Finch,False,Matarbari-Banskhali
Madunaghat_Meghnaghat_TL_1,Madunaghat_400kV,Meghnaghat_400kV,217.2,0.013,0.282,6.8e-06,400,2,LL-Quad ACSR Finch,False,Madunaghat-Meghnaghat
Madunaghat_Meghnaghat_TL_2,Madunaghat_400kV,Meghnaghat_400kV,217.2,0.013,0.282,6.8e-06,400,2,LL-Quad ACSR Finch,False,Madunaghat-Meghnaghat
RNPP_Bogura (W)_TL_1,RNPP_400kV,Bogura (W)_400kV,90.0,0.011,0.275,6.8e-06,400,1,Quad ACCC Finch,False,Rooppur-Bogura(West)
Bogura (W)_Barapukuria_230kV_TL_1,Bogura (W)_400kV,Barapukuria_230kV,112.0,0.011,0.275,6.8e-06,400,2,Quad ACCC Finch,False,Bogura(West)-Barapukuria
Bogura (W)_Barapukuria_230kV_TL_2,Bogura (W)_400kV,Barapukuria_230kV,112.0,0.011,0.275,6.8e-06,400,2,Quad ACCC Finch,False,Bogura(West)-Barapukuria
LILO_Amtali Switching_Payra_TL_1,Amtali Switching_400kV,Payra_400kV,9.45,0.011,0.275,6.8e-06,400,2,Quad ACCC Finch,True,LILO of Payra-Gopalganj at Amtali
LILO_Amtali Switching_Payra_TL_2,Amtali Switching_400kV,Payra_400kV,9.45,0.011,0.275,6.8e-06,400,2,Quad ACCC Finch,True,LILO of Payra-Gopalganj at Amtali
Amtali Switching_RNPP_TL_1,Amtali Switching_400kV,RNPP_400kV,9.9,0.013,0.282,6.8e-06,400,2,Quad ACSR Finch,False,Amtali-RNPL
Amtali Switching_RNPP_TL_2,Amtali Switching_400kV,RNPP_400kV,9.9,0.013,0.282,6.8e-06,400,2,Quad ACSR Finch,False,Amtali-RNPL
Bogura (S)_230kV_Kaliakoir_TL_1,Bogura (S)_230kV,Kaliakoir_400kV,73.0,0.011,0.275,6.8e-06,400,2,Quad ACCC Finch,False,Bogura-Kaliakoir (Upto river crossing)
Bogura (S)_230kV_Kaliakoir_TL_2,Bogura (S)_230kV,Kaliakoir_400kV,73.0,0.011,0.275,6.8e-06,400,2,Quad ACCC Finch,False,Bogura-Kaliakoir (Upto river crossing)
Aminbazar_Kaliakoir_TL_1,Aminbazar_400kV,Kaliakoir_400kV,51.0,0.011,0.275,6.8e-06,400,1,Quad ACCC Finch,False,Aminbazar-Kaliakoir
RNPP_Gopalganj_132kV_TL_1,RNPP_400kV,Gopalganj_132kV,156.0,0.011,0.275,6.8e-06,400,1,Quad ACCC Finch,False,Roopur-Gopalganj (overhead)
RNPP_Gopalganj_132kV_TL_1,RNPP_400kV,Gopalganj_132kV,2.0,0.011,0.275,6.8e-06,400,1,Quad ACCC Finch,False,Roopur-Gopalganj (UG)
Madunaghat_Korerhat_TL_1,Madunaghat_400kV,Korerhat_400kV,0.0,0.013,0.282,6.8e-06,400,4,LL-Quad ACSR Finch,False,LILO of Madunaghat-Meghnaghat atKorerhat
Madunaghat_Korerhat_TL_2,Madunaghat_400kV,Korerhat_400kV,0.0,0.013,0.282,6.8e-06,400,4,LL-Quad ACSR Finch,False,LILO of Madunaghat-Meghnaghat atKorerhat
Madunaghat_Korerhat_TL_3,Madunaghat_400kV,Korerhat_400kV,0.0,0.013,0.282,6.8e-06,400,4,LL-Quad ACSR Finch,False,LILO of Madunaghat-Meghnaghat atKorerhat
Madunaghat_Korerhat_TL_4,Madunaghat_400kV,Korerhat_400kV,0.0,0.013,0.282,6.8e-06,400,4,LL-Quad ACSR Finch,False,LILO of Madunaghat-Meghnaghat atKorerhat
Ghorashal_Ishwardi_TL_1,Ghorashal_230kV,Ishwardi_230kV,175.0,0.0677,0.4016,2.84e-06,230,2,Mallard & AAAC,False,Ghorasal-Ishurdi
Ghorashal_Ishwardi_TL_2,Ghorashal_230kV,Ishwardi_230kV,175.0,0.0677,0.4016,2.84e-06,230,2,Mallard & AAAC,False,Ghorasal-Ishurdi
Tongi_Ghorashal_TL_1,Tongi_230kV,Ghorashal_230kV,27.0,0.055,0.39,2.84e-06,230,2,ACCC Mallard,False,Tongi - Ghorasal
Tongi_Ghorashal_TL_2,Tongi_230kV,Ghorashal_230kV,27.0,0.055,0.39,2.84e-06,230,2,ACCC Mallard,False,Tongi - Ghorasal
Ghorashal_Ashuganj_TL_1,Ghorashal_230kV,Ashuganj_230kV,44.0,0.0677,0.4016,2.84e-06,230,2,Mallard,False,Ghorasal - Ashuganj
Ghorashal_Ashuganj_TL_2,Ghorashal_230kV,Ashuganj_230kV,44.0,0.0677,0.4016,2.84e-06,230,2,Mallard,False,Ghorasal - Ashuganj
Raozan_Hathazari_TL_1,Raozan_230kV,Hathazari_230kV,22.5,0.0852,0.4097,2.73e-06,230,2,Twin 300 sq.mm,False,Raojan - Hathazari
Raozan_Hathazari_TL_2,Raozan_230kV,Hathazari_230kV,22.5,0.0852,0.4097,2.73e-06,230,2,Twin 300 sq.mm,False,Raojan - Hathazari
Ashuganj_Cumilla (N)_TL_1,Ashuganj_230kV,Cumilla (N)_230kV,79.0,0.026,0.321,3.4e-06,230,2,Finch,False,Ashuganj - Comilla North
Ashuganj_Cumilla (N)_TL_2,Ashuganj_230kV,Cumilla (N)_230kV,79.0,0.026,0.321,3.4e-06,230,2,Finch,False,Ashuganj - Comilla North
Ghorashal_Rampura_TL_1,Ghorashal_230kV,Rampura_230kV,50.0,0.0339,0.327,3.52e-06,230,2,Twin Mallard,False,Ghorasal - Rampura
Ghorashal_Rampura_TL_2,Ghorashal_230kV,Rampura_230kV,50.0,0.0339,0.327,3.52e-06,230,2,Twin Mallard,False,Ghorasal - Rampura
Rampura_Haripur_TL_1,Rampura_230kV,Haripur_230kV,22.0,0.0339,0.327,3.52e-06,230,2,Twin Mallard,False,Rampura - Haripur
Rampura_Haripur_TL_2,Rampura_230kV,Haripur_230kV,22.0,0.0339,0.327,3.52e-06,230,2,Twin Mallard,False,Rampura - Haripur
Haripur_Meghnaghat_400kV_TL_1,Haripur_230kV,Meghnaghat_400kV,12.5,0.0339,0.327,3.52e-06,230,2,Twin Mallard,False,Haripur - Meghnaghat
Haripur_Meghnaghat_400kV_TL_2,Haripur_230kV,Meghnaghat_400kV,12.5,0.0339,0.327,3.52e-06,230,2,Twin Mallard,False,Haripur - Meghnaghat
Meghnaghat_400kV_Hasnabad_TL_1,Meghnaghat_400kV,Hasnabad_230kV,24.5,0.0339,0.327,3.52e-06,230,2,Twin Mallard,False,Meghnaghat - Hasnabad
Meghnaghat_400kV_Hasnabad_TL_2,Meghnaghat_400kV,Hasnabad_230kV,24.5,0.0339,0.327,3.52e-06,230,2,Twin Mallard,False,Meghnaghat - Hasnabad
Cumilla (N)_Hathazari_TL_1,Cumilla (N)_230kV,Hathazari_230kV,151.0,0.026,0.321,3.4e-06,230,2,Finch,False,Comilla North - Hathazari
Cumilla (N)_Hathazari_TL_2,Cumilla (N)_230kV,Hathazari_230kV,151.0,0.026,0.321,3.4e-06,230,2,Finch,False,Comilla North - Hathazari
Haripur_Haripur_TL_1,Haripur_230kV,Haripur_230kV,2.4,0.026,0.321,3.4e-06,230,2,Finch,False,"AES, Haripur - Haripur"
Haripur_Haripur_TL_2,Haripur_230kV,Haripur_230kV,2.4,0.026,0.321,3.4e-06,230,2,Finch,False,"AES, Haripur - Haripur"
Cumilla (N)_Meghnaghat_400kV_TL_1,Cumilla (N)_230kV,Meghnaghat_400kV,58.0,0.0339,0.327,3.52e-06,230,2,Twin Mallard,False,Comilla North - Meghnaghat
Cumilla (N)_Meghnaghat_400kV_TL_2,Cumilla (N)_230kV,Meghnaghat_400kV,58.0,0.0339,0.327,3.52e-06,230,2,Twin Mallard,False,Comilla North - Meghnaghat
Tongi_Aminbazar_TL_1,Tongi_230kV,Aminbazar_230kV,25.2,0.032,0.33,3.3e-06,230,2,Twin AAAC,False,Tongi-Aminbazar
Tongi_Aminbazar_TL_2,Tongi_230kV,Aminbazar_230kV,25.2,0.032,0.33,3.3e-06,230,2,Twin AAAC,False,Tongi-Aminbazar
Aminbazar_Hasnabad_TL_1,Aminbazar_230kV,Hasnabad_230kV,21.5,0.032,0.33,3.3e-06,230,2,Twin AAAC,False,Aminbazar-Hasnabad
Aminbazar_Hasnabad_TL_2,Aminbazar_230kV,Hasnabad_230kV,21.5,0.032,0.33,3.3e-06,230,2,Twin AAAC,False,Aminbazar-Hasnabad
Siddhirganj_Haripur_TL_1,Siddhirganj_230kV,Haripur_230kV,1.5,0.013,0.282,6.8e-06,230,1,ACSR,False,Siddhirganj 210 MW P/S -Haripur
Ashuganj_Sirajganj_132kV_TL_1,Ashuganj_230kV,Sirajganj_132kV,144.0,0.032,0.33,3.3e-06,230,2,Twin AAAC,False,Ashuganj - Sirajganj
Ashuganj_Sirajganj_132kV_TL_2,Ashuganj_230kV,Sirajganj_132kV,144.0,0.032,0.33,3.3e-06,230,2,Twin AAAC,False,Ashuganj - Sirajganj
Khulna (S)_Bheramara_TL_1,Khulna (S)_230kV,Bheramara_230kV,176.5,0.032,0.33,3.3e-06,230,2,Twin AAAC,False,Khulna-Bheramara HVDC
Khulna (S)_Bheramara_TL_2,Khulna (S)_230kV,Bheramara_230kV,176.5,0.032,0.33,3.3e-06,230,2,Twin AAAC,False,Khulna-Bheramara HVDC
Bheramara_Ishwardi_TL_1,Bheramara_230kV,Ishwardi_230kV,10.1,0.032,0.33,3.3e-06,230,2,Twin AAAC,False,Bheramara HVDC-Ishurdi
Bheramara_Ishwardi_TL_2,Bheramara_230kV,Ishwardi_230kV,10.1,0.032,0.33,3.3e-06,230,2,Twin AAAC,False,Bheramara HVDC-Ishurdi
Bogura (S)_Barapukuria_TL_1,Bogura (S)_230kV,Barapukuria_230kV,106.0,0.032,0.33,3.3e-06,230,2,Twin AAAC,False,Bogra-Barapukuria
Bogura (S)_Barapukuria_TL_2,Bogura (S)_230kV,Barapukuria_230kV,106.0,0.032,0.33,3.3e-06,230,2,Twin AAAC,False,Bogra-Barapukuria
Sirajganj_132kV_Bogura (S)_TL_1,Sirajganj_132kV,Bogura (S)_230kV,72.5,0.032,0.33,3.3e-06,230,2,Twin AAAC,False,Sirajganj-Bogra
Sirajganj_132kV_Bogura (S)_TL_2,Sirajganj_132kV,Bogura (S)_230kV,72.5,0.032,0.33,3.3e-06,230,2,Twin AAAC,False,Sirajganj-Bogra
Ishwardi_Baghabari_TL_1,Ishwardi_230kV,Baghabari_230kV,55.0,0.032,0.33,3.3e-06,230,2,Twin AAAC,False,Ishurdi-Baghabari
Ishwardi_Baghabari_TL_2,Ishwardi_230kV,Baghabari_230kV,55.0,0.032,0.33,3.3e-06,230,2,Twin AAAC,False,Ishurdi-Baghabari
Baghabari_Sirajganj_132kV_TL_1,Baghabari_230kV,Sirajganj_132kV,38.0,0.032,0.33,3.3e-06,230,2,Twin AAAC,False,Baghabari-Sirajganj
Baghabari_Sirajganj_132kV_TL_2,Baghabari_230kV,Sirajganj_132kV,38.0,0.032,0.33,3.3e-06,230,2,Twin AAAC,False,Baghabari-Sirajganj
Fenchuganj_Bibiyana_TL_1,Fenchuganj_230kV,Bibiyana_230kV,33.5,0.0339,0.327,3.52e-06,230,2,Twin Mallard,False,Fenchuganj-Bibiyana
Fenchuganj_Bibiyana_TL_2,Fenchuganj_230kV,Bibiyana_230kV,33.5,0.0339,0.327,3.52e-06,230,2,Twin Mallard,False,Fenchuganj-Bibiyana
Bibiyana_Cumilla (N)_TL_1,Bibiyana_230kV,Cumilla (N)_230kV,153.5,0.0339,0.327,3.52e-06,230,2,Twin Mallard,False,Bibiyana-Comilla(N)
Bibiyana_Cumilla (N)_TL_2,Bibiyana_230kV,Cumilla (N)_230kV,153.5,0.0339,0.327,3.52e-06,230,2,Twin Mallard,False,Bibiyana-Comilla(N)
Aminbazar_Agargaon_TL_1,Aminbazar_230kV,Agargaon_230kV,3.5,0.0339,0.327,3.52e-06,230,2,Twin Mallard,False,Aminbazar-Old Airport (O/H)
Aminbazar_Agargaon_TL_2,Aminbazar_230kV,Agargaon_230kV,3.5,0.0339,0.327,3.52e-06,230,2,Twin Mallard,False,Aminbazar-Old Airport (O/H)
Aminbazar_Agargaon_TL_1,Aminbazar_230kV,Agargaon_230kV,4.0,0.015,0.12,2e-05,230,2,XLPE,False,Aminbazar-Old Airport (U/G)
Aminbazar_Agargaon_TL_2,Aminbazar_230kV,Agargaon_230kV,4.0,0.015,0.12,2e-05,230,2,XLPE,False,Aminbazar-Old Airport (U/G)
Siddhirganj_Maniknagar_TL_1,Siddhirganj_230kV,Maniknagar_230kV,11.0,0.0339,0.327,3.52e-06,230,2,Twin Mallard,False,Siddhirganj-Maniknagar
Siddhirganj_Maniknagar_TL_2,Siddhirganj_230kV,Maniknagar_230kV,11.0,0.0339,0.327,3.52e-06,230,2,Twin Mallard,False,Siddhirganj-Maniknagar
Bhola_Barishal (N)_TL_1,Bhola_230kV,Barishal (N)_230kV,62.5,0.0339,0.327,3.52e-06,230,2,Twin Mallard,False,Bhola-Barisal
Bhola_Barishal (N)_TL_2,Bhola_230kV,Barishal (N)_230kV,62.5,0.0339,0.327,3.52e-06,230,2,Twin Mallard,False,Bhola-Barisal
LILO_BSRM_Cumilla (N)_TL_1,BSRM_230kV,Cumilla (N)_230kV,0.5,0.026,0.321,3.4e-06,230,2,Finch,True,LILO of Comilla(N)-Hathazari line at BSRM
LILO_BSRM_Cumilla (N)_TL_2,BSRM_230kV,Cumilla (N)_230kV,0.5,0.026,0.321,3.4e-06,230,2,Finch,True,LILO of Comilla(N)-Hathazari line at BSRM
LILO_AKSPL_Cumilla (N)_TL_1,AKSPL_230kV,Cumilla (N)_230kV,6.5,0.026,0.321,3.4e-06,230,2,Finch,True,LILO of Comilla(N)-Hathazari line at AKSPL
LILO_AKSPL_Cumilla (N)_TL_2,AKSPL_230kV,Cumilla (N)_230kV,6.5,0.026,0.321,3.4e-06,230,2,Finch,True,LILO of Comilla(N)-Hathazari line at AKSPL
LILO_Kaliakoir_Aminbazar_TL_1,Kaliakoir_230kV,Aminbazar_230kV,32.0,0.032,0.33,3.3e-06,230,4,Twin AAAC,True,LILO of Aminbazar-Tongi line at Kaliakoir
LILO_Kaliakoir_Aminbazar_TL_2,Kaliakoir_230kV,Aminbazar_230kV,32.0,0.032,0.33,3.3e-06,230,4,Twin AAAC,True,LILO of Aminbazar-Tongi line at Kaliakoir
LILO_Kaliakoir_Aminbazar_TL_3,Kaliakoir_230kV,Aminbazar_230kV,32.0,0.032,0.33,3.3e-06,230,4,Twin AAAC,True,LILO of Aminbazar-Tongi line at Kaliakoir
LILO_Kaliakoir_Aminbazar_TL_4,Kaliakoir_230kV,Aminbazar_230kV,32.0,0.032,0.33,3.3e-06,230,4,Twin AAAC,True,LILO of Aminbazar-Tongi line at Kaliakoir
Bheramara_Bheramara_TL_1,Bheramara_230kV,Bheramara_230kV,6.0,0.032,0.33,3.3e-06,230,2,Twin AAAC,False,Bheramara HVDC-Bheramara 230
Bheramara_Bheramara_TL_2,Bheramara_230kV,Bheramara_230kV,6.0,0.032,0.33,3.3e-06,230,2,Twin AAAC,False,Bheramara HVDC-Bheramara 230
LILO_Bhulta_Ghorashal_TL_1,Bhulta_230kV,Ghorashal_230kV,2.0,0.0339,0.327,3.52e-06,230,2,Twin Mallard,True,LILO of Ghorashal-Rampura at Bhulta
LILO_Bhulta_Ghorashal_TL_2,Bhulta_230kV,Ghorashal_230kV,2.0,0.0339,0.327,3.52e-06,230,2,Twin Mallard,True,LILO of Ghorashal-Rampura at Bhulta
LILO_Bhulta_Haripur_TL_1,Bhulta_230kV,Haripur_230kV,2.5,0.0339,0.327,3.52e-06,230,4,Twin Mallard,True,LILO of Haripur-Rampura at Bhulta
LILO_Bhulta_Haripur_TL_2,Bhulta_230kV,Haripur_230kV,2.5,0.0339,0.327,3.52e-06,230,4,Twin Mallard,True,LILO of Haripur-Rampura at Bhulta
LILO_Bhulta_Haripur_TL_3,Bhulta_230kV,Haripur_230kV,2.5,0.0339,0.327,3.52e-06,230,4,Twin Mallard,True,LILO of Haripur-Rampura at Bhulta
LILO_Bhulta_Haripur_TL_4,Bhulta_230kV,Haripur_230kV,2.5,0.0339,0.327,3.52e-06,230,4,Twin Mallard,True,LILO of Haripur-Rampura at Bhulta
Haripur_Siddhirganj_TL_1,Haripur_230kV,Siddhirganj_230kV,1.65,0.0339,0.327,3.52e-06,230,2,Twin Mallard,False,Haripur-Siddhirganj
Haripur_Siddhirganj_TL_2,Haripur_230kV,Siddhirganj_230kV,1.65,0.0339,0.327,3.52e-06,230,2,Twin Mallard,False,Haripur-Siddhirganj
Bheramara_Ishwardi_TL_1,Bheramara_230kV,Ishwardi_230kV,12.8,0.0169,0.29,7.04e-06,230,2,Quad Mallard,False,Bheramara HVDC- Ishwardi
Bheramara_Ishwardi_TL_2,Bheramara_230kV,Ishwardi_230kV,12.8,0.0169,0.29,7.04e-06,230,2,Quad Mallard,False,Bheramara HVDC- Ishwardi
LILO_Kodda_132kV_Tongi_TL_1,Kodda_132kV,Tongi_230kV,1.0,0.0339,0.327,3.52e-06,230,2,Twin Mallard,True,LILO of Tongi-Kaliakoir at Kodda PP
LILO_Kodda_132kV_Tongi_TL_2,Kodda_132kV,Tongi_230kV,1.0,0.0339,0.327,3.52e-06,230,2,Twin Mallard,True,LILO of Tongi-Kaliakoir at Kodda PP
LILO_Keraniganj_Hasnabad_TL_1,Keraniganj_230kV,Hasnabad_230kV,0.5,0.0339,0.327,3.52e-06,230,4,Twin Mallard,True,LILO of Hasnabad-Aminbazar at Keraniganj
LILO_Keraniganj_Hasnabad_TL_2,Keraniganj_230kV,Hasnabad_230kV,0.5,0.0339,0.327,3.52e-06,230,4,Twin Mallard,True,LILO of Hasnabad-Aminbazar at Keraniganj
LILO_Keraniganj_Hasnabad_TL_3,Keraniganj_230kV,Hasnabad_230kV,0.5,0.0339,0.327,3.52e-06,230,4,Twin Mallard,True,LILO of Hasnabad-Aminbazar at Keraniganj
LILO_Keraniganj_Hasnabad_TL_4,Keraniganj_230kV,Hasnabad_230kV,0.5,0.0339,0.327,3.52e-06,230,4,Twin Mallard,True,LILO of Hasnabad-Aminbazar at Keraniganj
Sikalbaha_Anowara_TL_1,Sikalbaha_230kV,Anowara_230kV,17.5,0.0339,0.327,3.52e-06,230,2,Twin Mallard,False,Sikalbaha-Anowara
Sikalbaha_Anowara_TL_2,Sikalbaha_230kV,Anowara_230kV,17.5,0.0339,0.327,3.52e-06,230,2,Twin Mallard,False,Sikalbaha-Anowara
LILO_Shyampur_Hasnabad_TL_1,Shyampur_230kV,Hasnabad_230kV,0.0,0.0339,0.327,3.52e-06,230,4,Twin Mallard,True,LILO of Hasnabad-Meghnaghat at Shyampur
LILO_Shyampur_Hasnabad_TL_2,Shyampur_230kV,Hasnabad_230kV,0.0,0.0339,0.327,3.52e-06,230,4,Twin Mallard,True,LILO of Hasnabad-Meghnaghat at Shyampur
LILO_Shyampur_Hasnabad_TL_3,Shyampur_230kV,Hasnabad_230kV,0.0,0.0339,0.327,3.52e-06,230,4,Twin Mallard,True,LILO of Hasnabad-Meghnaghat at Shyampur
LILO_Shyampur_Hasnabad_TL_4,Shyampur_230kV,Hasnabad_230kV,0.0,0.0339,0.327,3.52e-06,230,4,Twin Mallard,True,LILO of Hasnabad-Meghnaghat at Shyampur
Patuakhali_Payra_TL_1,Patuakhali_230kV,Payra_230kV,46.5,0.028,0.318,3.52e-06,230,2,Twin ACCC Mallard,False,Patuakhali-Payra
Patuakhali_Payra_TL_2,Patuakhali_230kV,Payra_230kV,46.5,0.028,0.318,3.52e-06,230,2,Twin ACCC Mallard,False,Patuakhali-Payra
Ishwardi_Rajshahi_132kV_TL_1,Ishwardi_230kV,Rajshahi_132kV,79.0,0.0339,0.327,3.52e-06,230,2,Twin Mallard,False,Ishurdi-Rajshahi
Ishwardi_Rajshahi_132kV_TL_2,Ishwardi_230kV,Rajshahi_132kV,79.0,0.0339,0.327,3.52e-06,230,2,Twin Mallard,False,Ishurdi-Rajshahi
LILO_Jhenaidah_132kV_Bheramara_TL_1,Jhenaidah_132kV,Bheramara_230kV,2.0,0.0339,0.327,3.52e-06,230,4,Twin Mallard,True,LILO of Bheramara-Khulna (S) at Jhenaidah
LILO_Jhenaidah_132kV_Bheramara_TL_2,Jhenaidah_132kV,Bheramara_230kV,2.0,0.0339,0.327,3.52e-06,230,4,Twin Mallard,True,LILO of Bheramara-Khulna (S) at Jhenaidah
LILO_Jhenaidah_132kV_Bheramara_TL_3,Jhenaidah_132kV,Bheramara_230kV,2.0,0.0339,0.327,3.52e-06,230,4,Twin Mallard,True,LILO of Bheramara-Khulna (S) at Jhenaidah
