name,bus0,bus1,length,r_ohm_per_km,x_ohm_per_km,b_siemens_per_km,v_nom_kv,n_circuits,conductor,is_lilo,source_name
Niamatpur_Rahanpur_400kV_TL_1,Niamatpur_132kV,Rahanpur_400kV,28.0,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Niyamatpur-Rahanpur (LILO point)
Niamatpur_Rahanpur_400kV_TL_2,Niamatpur_132kV,Rahanpur_400kV,28.0,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Niyamatpur-Rahanpur (LILO point)
Naogaon_Joypurhat_TL_1,Naogaon_132kV,Joypurhat_132kV,47.0,0.0852,0.4097,2.73e-06,132,1,Grosbeak,False,Naogaon-Joypurhat
Panchagarh_Thakurgaon_TL_1,Panchagarh_132kV,Thakurgaon_132kV,45.0,0.0852,0.4097,2.73e-06,132,1,Grosbeak,False,Panchagarh-Thakurgaon
Cox's Bazar_Cox's Bazar_TL_1,Cox's Bazar_132kV,Cox's Bazar_132kV,11.0,0.0852,0.4097,2.73e-06,132,1,Grosbeak,False,US DK - Cox's Bazar
Barishal(N)_Bhandaria_TL_1,Barishal(N)_132kV,Bhandaria_132kV,46.5,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Barishal (N)-Bhandaria
Barishal(N)_Bhandaria_TL_2,Barishal(N)_132kV,Bhandaria_132kV,46.5,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Barishal (N)-Bhandaria
LILO_Pubail_Ghorashal_TL_1,Pubail_132kV,Ghorashal_132kV,3.25,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Ghorashal-Joydevpur at Pubail
LILO_Pubail_Ghorashal_TL_2,Pubail_132kV,Ghorashal_132kV,3.25,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Ghorashal-Joydevpur at Pubail
LILO_Pubail_Ghorashal_TL_3,Pubail_132kV,Ghorashal_132kV,3.25,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Ghorashal-Joydevpur at Pubail
